sample_id,station,depth,petalloid_width,test_length,species_id,notes
,lit,,1.5,17,Brisaster latifrons,
,lit,,1.8,17,Brisaster latifrons,
,lit,,2,18,Brisaster latifrons,
,lit,,2.1,18,Brisaster latifrons,
,lit,,2.2,20,Brisaster latifrons,
,lit,,2.3,20,Brisaster latifrons,
,lit,,2.4,22,Brisaster latifrons,
,lit,,1.8,22,Brisaster latifrons,
,lit,,2.2,25,Brisaster latifrons,
,lit,,2.5,25,Brisaster latifrons,
,lit,,2.4,28,Brisaster latifrons,
,lit,,2.4,28,Brisaster latifrons,
,lit,,2.5,29,Brisaster latifrons,
,lit,,3,29,Brisaster latifrons,
,lit,,3.6,32,Brisaster latifrons,
,lit,,3.6,33,Brisaster latifrons,
,lit,,3.8,35,Brisaster latifrons,
,lit,,4,37,Brisaster latifrons,
,lit,,3.3,39,Brisaster latifrons,
,lit,,3.6,40,Brisaster latifrons,
,lit,,4,40,Brisaster latifrons,
,lit,,3.5,42,Brisaster latifrons,
,lit,,4.5,42,Brisaster latifrons,
,lit,,3.8,45,Brisaster latifrons,
,lit,,4,45,Brisaster latifrons,
,lit,,4.1,44,Brisaster latifrons,
,lit,,4.5,45,Brisaster latifrons,
,lit,,5,44,Brisaster latifrons,
,lit,,3.8,48,Brisaster latifrons,
,lit,,4.3,47,Brisaster latifrons,
,lit,,4.5,48,Brisaster latifrons,
,lit,,4.6,48,Brisaster latifrons,
,lit,,5.2,48,Brisaster latifrons,
,lit,,5.4,49,Brisaster latifrons,
,lit,,4.5,51,Brisaster latifrons,
,lit,,4.5,52,Brisaster latifrons,
,lit,,4.2,54,Brisaster latifrons,
,lit,,4.6,54,Brisaster latifrons,
,lit,,4.8,54,Brisaster latifrons,
,lit,,4.9,54,Brisaster latifrons,
,lit,,5.2,57,Brisaster latifrons,
,lit,,5.4,58,Brisaster latifrons,
,lit,,5.2,59,Brisaster latifrons,
,lit,,5.8,60,Brisaster latifrons,
,lit,,6.2,59,Brisaster latifrons,
,lit,,6.2,70,Brisaster latifrons,
,lit,,6.8,70,Brisaster latifrons,
,lit,,7.2,69,Brisaster latifrons,
,lit,,6.2,74,Brisaster latifrons,
,lit,,7.2,82,Brisaster latifrons,
,lit,,3.1,21,Brisaster townsendi,
,lit,,3.2,22,Brisaster townsendi,
,lit,,3.4,22,Brisaster townsendi,
,lit,,3.5,23,Brisaster townsendi,
,lit,,3.6,24,Brisaster townsendi,
,lit,,4.2,25,Brisaster townsendi,
,lit,,4.4,27,Brisaster townsendi,
,lit,,4.4,28,Brisaster townsendi,
,lit,,4.7,27,Brisaster townsendi,
,lit,,4.7,31,Brisaster townsendi,
,lit,,5.4,32,Brisaster townsendi,
,lit,,4.4,35,Brisaster townsendi,
,lit,,4.4,33,Brisaster townsendi,
,lit,,4.4,34,Brisaster townsendi,
,lit,,4.4,35,Brisaster townsendi,
,lit,,5.1,35,Brisaster townsendi,
,lit,,5.8,36,Brisaster townsendi,
,lit,,6.1,36,Brisaster townsendi,
,lit,,6.3,38,Brisaster townsendi,
,lit,,5.5,42,Brisaster townsendi,
,lit,,5.6,42,Brisaster townsendi,
,lit,,6.2,42,Brisaster townsendi,
,lit,,6.1,44,Brisaster townsendi,
,lit,,6.7,42,Brisaster townsendi,
,lit,,6,48,Brisaster townsendi,
,lit,,6.8,47,Brisaster townsendi,
,lit,,7.3,48,Brisaster townsendi,
,lit,,6.8,52,Brisaster townsendi,
,lit,,7.3,52,Brisaster townsendi,
,lit,,7.8,55,Brisaster townsendi,
,lit,,7.8,57,Brisaster townsendi,
